Rank,Name,Team,Cl,Height,Position,G,Dbl Dbl
1,Terry Taylor,Austin Peay,Sr.,6-5,F,27,20
2,Charles Bassey,Western Ky.,Jr.,6-11,C,28,18
3,Kofi Cockburn,Illinois,So.,7-0,C,31,16
NA,Neemias Queta,Utah St.,Jr.,7-0,C,29,16
5,Kevin Obanor,Oral Roberts,Jr.,6-8,F,28,15
NA,Ruot Monyyong,Little Rock,Sr.,6-10,F,26,15
NA,Norchad Omier,Arkansas St.,Fr.,6-7,F,23,15
8,Fardaws Aimaq,Utah Valley,So.,6-11,C,22,14
NA,Jordan Goodwin,Saint Louis,Sr.,6-3,G,21,14
NA,Justin Champagnie,Pittsburgh,So.,6-6,F,20,14
11,Luka Garza,Iowa,Sr.,6-11,C,31,13
NA,Johni Broome,Morehead St.,Fr.,6-10,F,30,13
NA,Hayden Brown,The Citadel,Jr.,6-6,F,24,13
NA,Baylor Scheierman,South Dakota St.,So.,6-6,G,23,13
15,Evan Mobley,Southern California,Fr.,7-0,F,33,12
NA,David Roddy,Colorado St.,So.,6-5,F,28,12
NA,Loudon Love,Wright St.,Sr.,6-8,C,24,12
NA,Eral Penn,LIU,Jr.,6-7,F,18,12
19,Derek Culver,West Virginia,Jr.,6-10,F,29,11
NA,Trevion Williams,Purdue,Jr.,6-9,F,28,11
NA,Asbjorn Midtgaard,Grand Canyon,Sr.,7-0,C,24,11
NA,Orlando Robinson,Fresno St.,So.,7-0,F,24,11
23,Jalen Moore,Oakland,Jr.,5-11,G,30,10
NA,Trayce Jackson-Davis,Indiana,So.,6-9,F,27,10
NA,Theo Akwuba,Louisiana,Jr.,6-11,F,26,10
NA,Elyjah Goss,IUPUI,Sr.,6-7,F,18,10
27,Warith Alatishe,Oregon St.,Jr.,6-7,F,33,9
NA,"Kenneth Lofton, Jr.",Louisiana Tech,Fr.,6-7,F,32,9
NA,Daniel Oladapo,Oakland,Jr.,6-7,F,30,9
NA,Justin Bean,Utah St.,Jr.,6-7,F,29,9
NA,Jalen Wilson,Kansas,Fr.,6-8,F,29,9
NA,Essam Mostafa,Coastal Carolina,Fr.,6-9,F,26,9
NA,Malachi Smith,Chattanooga,So.,6-4,G,25,9
NA,Tanner Groves,Eastern Wash.,Jr.,6-9,F,24,9
NA,Josh Mballa,Buffalo,Jr.,6-7,F,22,9
NA,Danny Pippen,Kent St.,Sr.,6-9,F,20,9
NA,Santi Aldama,Loyola Maryland,So.,6-11,F,17,9
NA,Jayveous McKinnis,Jackson St.,Jr.,6-7,F,16,9
39,Justin Gorham,Houston,Sr.,6-7,F,31,8
NA,Tolu Smith,Mississippi St.,So.,6-10,F,30,8
NA,Darius Days,LSU,Jr.,6-6,F,28,8
NA,Max Fiedler,Rice,So.,6-10,F,28,8
NA,Quincy Guerrier,Syracuse,So.,6-7,F,28,8
NA,Myles Johnson,Rutgers,Jr.,6-10,C,28,8
NA,Qudus Wahab,Georgetown,So.,6-11,C,26,8
NA,Sahvir Wheeler,Georgia,So.,5-10,,26,8
NA,Toumani Camara,Georgia,So.,6-8,,25,8
NA,Gaige Prim,Missouri St.,Sr.,6-8,F,24,8
NA,Jeremiah Tilmon,Missouri,Sr.,6-10,F,24,8
NA,Anthony Tarke,Coppin St.,Sr.,6-6,G,22,8
