RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Jason Day,16,"2,735",3,9,0,NA
2,2,Dustin Johnson,18,"2,701",2,12,34,NA
3,3,Adam Scott,16,"2,063",2,5,672,NA
4,4,Russell Knox,21,"2,001",2,4,734,NA
5,5,Jordan Spieth,17,"1,965",2,6,770,NA
6,6,Brandt Snedeker,23,"1,717",1,7,"1,018",NA
7,7,Patrick Reed,24,"1,575",0,9,"1,160",NA
8,8,Phil Mickelson,18,"1,532",0,6,"1,203",NA
9,9,Kevin Na,23,"1,529",0,8,"1,206",NA
10,10,Justin Thomas,24,"1,512",1,5,"1,223",NA
11,11,Kevin Kisner,23,"1,491",1,6,"1,244",NA
12,12,Hideki Matsuyama,19,"1,468",1,7,"1,267",NA
13,13,Kevin Chappell,23,"1,422",0,6,"1,313",NA
14,14,Henrik Stenson,12,"1,387",1,4,"1,348",NA
15,15,Si Woo Kim,30,"1,382",1,4,"1,353",NA
16,16,William McGirt,24,"1,360",1,7,"1,375",NA
17,17,Jimmy Walker,21,"1,352",1,4,"1,383",NA
18,18,Matt Kuchar,22,"1,349",0,9,"1,386",NA
19,19,Brooks Koepka,18,"1,348",0,7,"1,387",NA
20,20,Sergio Garcia,13,"1,306",1,4,"1,429",NA
21,21,Jason Dufner,24,"1,273",1,5,"1,462",NA
22,22,Daniel Berger,22,"1,254",1,5,"1,481",NA
23,23,Ryan Moore,19,"1,235",1,6,"1,500",NA
24,24,Bubba Watson,15,"1,235",1,3,"1,500",NA
25,25,Branden Grace,15,"1,187",1,6,"1,548",NA
26,26,Smylie Kaufman,25,"1,181",1,4,"1,554",NA
27,27,Graeme McDowell,18,"1,142",1,5,"1,593",NA
28,28,Rickie Fowler,20,"1,131",0,7,"1,604",NA
29,29,Bill Haas,21,"1,129",0,6,"1,606",NA
30,30,Charl Schwartzel,15,"1,127",1,3,"1,608",NA
31,31,Jhonattan Vegas,23,"1,119",1,5,"1,616",NA
32,32,Emiliano Grillo,21,"1,109",1,1,"1,626",NA
33,33,Charley Hoffman,23,"1,087",1,1,"1,648",NA
34,34,Scott Piercy,21,"1,077",0,3,"1,658",NA
35,35,Harris English,24,"1,032",0,3,"1,703",NA
36,36,Rory McIlroy,14,973,0,6,"1,762",NA
37,37,Daniel Summerhays,25,963,0,2,"1,772",NA
38,38,J.B. Holmes,18,956,0,5,"1,779",NA
39,39,Charles Howell III,22,931,0,5,"1,804",NA
40,40,Fabián Gómez,23,924,1,3,"1,811",NA
41,41,Jim Herman,26,923,1,2,"1,812",NA
42,42,Gary Woodland,22,907,0,2,"1,828",NA
43,43,Jamie Lovemark,24,904,0,5,"1,831",NA
44,44,James Hahn,23,878,1,2,"1,857",NA
45,45,Aaron Baddeley,25,874,1,5,"1,861",NA
46,46,Tony Finau,25,864,1,2,"1,871",NA
47,47,David Lingmerth,21,859,0,2,"1,876",NA
48,48,Luke Donald,20,849,0,2,"1,886",NA
49,49,Jon Curran,27,840,0,3,"1,895",NA
50,50,Zach Johnson,21,833,0,5,"1,902",NA
51,51,Justin Rose,15,829,0,5,"1,906",NA
52,52,Kyle Reifers,31,821,0,5,"1,914",NA
53,53,Roberto Castro,23,810,0,3,"1,925",NA
54,54,Colt Knost,24,803,0,3,"1,932",NA
55,55,Brendan Steele,22,791,0,2,"1,944",NA
56,56,Louis Oosthuizen,14,769,0,2,"1,966",NA
57,57,Marc Leishman,22,765,0,2,"1,970",NA
58,58,Patton Kizzire,25,760,0,5,"1,975",NA
59,59,Alex Cejka,22,754,0,4,"1,981",NA
60,60,Chris Kirk,25,749,0,2,"1,986",NA
61,61,Ben Martin,25,741,0,2,"1,994",NA
62,62,Patrick Rodgers,26,739,0,3,"1,996",NA
63,63,Ryan Palmer,20,731,0,2,"2,004",NA
64,64,Vaughn Taylor,21,726,1,1,"2,009",NA
65,65,Jason Kokrak,25,721,0,2,"2,014",NA
66,66,Ricky Barnes,27,718,0,4,"2,017",NA
67,67,Freddie Jacobson,24,714,0,3,"2,021",NA
68,68,Paul Casey,18,710,0,4,"2,025",NA
69,69,Billy Hurley III,17,710,1,1,"2,025",NA
70,70,K.J. Choi,20,705,0,2,"2,030",NA
71,71,Danny Lee,26,699,0,2,"2,036",NA
72,72,Billy Horschel,17,694,0,4,"2,041",NA
73,73,Kevin Streelman,23,692,0,2,"2,043",NA
74,74,Jerry Kelly,21,692,0,2,"2,043",NA
75,75,Danny Willett,9,691,1,3,"2,044",NA
76,76,Brian Stuard,17,680,1,1,"2,055",NA
77,77,Jason Bohn,19,667,0,3,"2,068",NA
78,78,Webb Simpson,18,666,0,2,"2,069",NA
79,79,Bryce Molder,24,652,0,5,"2,083",NA
80,80,Spencer Levin,30,644,0,2,"2,091",NA
81,81,Scott Brown,25,643,0,4,"2,092",NA
82,82,Harold Varner III,26,643,0,4,"2,092",NA
83,83,Russell Henley,23,642,0,4,"2,093",NA
84,84,Adam Hadwin,25,638,0,2,"2,097",NA
85,85,Chad Campbell,26,633,0,3,"2,102",NA
86,86,Chez Reavie,25,630,0,2,"2,105",NA
87,87,Shane Lowry,17,615,0,2,"2,120",NA
88,88,Brian Harman,28,607,0,2,"2,128",NA
89,89,Martin Laird,22,605,0,3,"2,130",NA
90,90,Hudson Swafford,27,603,0,1,"2,132",NA
91,91,David Hearn,26,599,0,1,"2,136",NA
