RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Jordan Spieth,91,68.938,"6,080",- 13.449,88
2,2,Jason Day,75,69.161,"4,960",19.590,72
3,3,Bubba Watson,71,69.296,"4,712",.139,68
4,4,Henrik Stenson,63,69.354,"4,179",- 17.760,60
5,5,Dustin Johnson,75,69.585,"5,027",- 16.865,72
6,9,Justin Rose,69,69.744,"4,614",- 10.884,66
7,6,Zach Johnson,90,69.753,"6,061",7.472,87
8,7,Will Wilcox,58,69.804,"3,741",28.416,54
9,11,Paul Casey,87,69.806,"5,721",3.089,82
10,10,Jim Furyk,71,69.845,"4,497",- 26.922,64
11,8,Brooks Koepka,84,69.861,"5,666",- 7.282,81
12,12,Hideki Matsuyama,95,69.94,"6,355",9.529,91
13,13,Sergio Garcia,59,69.958,"3,937",- 19.340,56
14,14,Matt Kuchar,97,70.04,"6,568",15.746,94
15,15,Ryan Palmer,80,70.102,"5,410",- 12.171,77
16,16,Justin Thomas,106,70.105,"7,379",52.153,106
17,19,Kevin Na,98,70.121,"6,667",- 5.513,95
18,17,Robert Streb,110,70.13,"7,685",29.255,110
19,18,Brandt Snedeker,98,70.158,"6,660",4.975,95
20,20,Louis Oosthuizen,68,70.16,"4,425",- 4.934,63
21,26,Rickie Fowler,76,70.23,"5,064",- 7.406,72
T22,24,Jason Bohn,95,70.235,"6,623",49.308,95
T22,23,Harris English,105,70.235,"7,139",24.957,102
24,25,Jimmy Walker,89,70.268,"6,047",- 3.991,86
25,28,Tony Finau,106,70.281,"7,423",26.756,106
26,21,Patrick Reed,103,70.292,"7,013",16.190,100
27,29,Webb Simpson,81,70.31,"5,470",14.204,78
28,22,Kevin Kisner,104,70.344,"7,300",15.824,104
29,30,Jerry Kelly,79,70.383,"5,520",40.268,79
30,31,Daniel Summerhays,101,70.397,"7,084",26.088,101
31,40,Danny Lee,120,70.398,"8,409",38.814,120
32,32,Brendan Steele,88,70.413,"5,892",22.690,84
T33,T33,Russell Knox,96,70.421,"6,727",33.413,96
T33,T33,Ian Poulter,68,70.421,"4,599",- 21.631,65
T33,T33,Shawn Stefani,94,70.421,"6,594",25.574,94
36,36,Rory Sabbatini,81,70.435,"5,670",35.259,81
37,37,Keegan Bradley,87,70.45,"5,915",2.775,84
38,38,Adam Scott,51,70.456,"3,401",- 19.095,48
39,39,Francesco Molinari,56,70.458,"3,738",- 3.722,53
40,41,George McNeill,93,70.478,"6,532",22.429,93
41,42,Lee Westwood,56,70.484,"3,692",- 26.822,52
42,43,Brendon Todd,96,70.533,"6,546",13.549,93
43,44,Luke Donald,71,70.555,"5,025",- 15.622,71
44,46,Marc Leishman,74,70.569,"4,945",- 5.166,70
T45,59,J.B. Holmes,89,70.581,"5,995",4.362,85
T45,47,Russell Henley,87,70.581,"5,919",9.820,84
T45,53,Daniel Berger,97,70.581,"6,806",40.320,97
48,48,Phil Mickelson,70,70.585,"4,960",- 19.059,70
49,50,Chad Campbell,97,70.604,"6,821",27.626,97
50,49,Charley Hoffman,97,70.613,"6,625",12.664,94
51,51,Patrick Rodgers,57,70.619,"3,715",27.815,53
52,54,Jason Dufner,76,70.633,"5,171",- 14.757,73
53,55,Brendon de Jonge,106,70.642,"7,451",37.009,106
T54,T56,Brian Harman,90,70.647,"6,341",17.268,90
T54,T56,William McGirt,103,70.647,"7,233",43.591,103
56,58,Jason Kokrak,88,70.654,"6,192",25.521,88
57,60,Pat Perez,96,70.666,"6,743",40.892,96
T58,45,Bill Haas,89,70.672,"6,072",5.816,86
T58,61,Kevin Chappell,86,70.672,"6,064",13.755,86
60,62,Nick Watney,91,70.68,"6,404",27.855,91
61,63,Chad Collins,79,70.681,"5,543",40.777,79
62,52,Scott Piercy,90,70.688,"6,331",30.879,90
63,64,Colt Knost,90,70.698,"6,035",44.985,86
64,65,Zac Blair,108,70.714,"7,313",41.299,104
65,66,Jim Herman,88,70.719,"6,182",41.232,88
66,67,Graham DeLaet,65,70.72,"4,577",19.813,65
67,68,Hudson Swafford,97,70.732,"6,675",44.506,95
68,69,John Peterson,84,70.735,"5,912",29.772,84
69,70,Vijay Singh,78,70.761,"5,496",23.347,78
70,71,Martin Laird,77,70.772,"5,427",22.445,77
71,72,Stewart Cink,77,70.774,"5,419",30.615,77
72,73,Boo Weekley,79,70.775,"5,563",28.242,79
73,74,Bryce Molder,91,70.779,"6,116",41.753,87
74,75,Scott Brown,97,70.797,"6,828",39.329,97
75,76,David Lingmerth,90,70.8,"6,339",32.969,90
76,77,Johnson Wagner,68,70.807,"4,779",35.908,68
T77,T78,Matt Jones,89,70.812,"6,057",32.825,86
T77,T78,Tom Hoge,83,70.812,"5,559",35.161,79
79,80,Ryan Moore,81,70.829,"5,513",11.665,78
80,81,Jonathan Byrd,69,70.83,"4,561",42.918,65
81,89,Steven Bowditch,103,70.835,"7,245",51.042,103
82,82,Jeff Overton,94,70.836,"6,494",22.945,92
83,83,Spencer Levin,99,70.837,"6,838",33.233,97
84,84,David Hearn,97,70.843,"6,839",32.781,97
85,85,Jon Curran,83,70.849,"5,575",22.069,79
86,86,Kyle Reifers,96,70.854,"6,481",37.562,92
87,87,Carl Pettersson,106,70.866,"7,483",28.810,106
88,88,Charles Howell III,105,70.872,"7,409",32.575,105
89,90,James Hahn,94,70.896,"6,638",26.178,94
90,91,Martin Flores,95,70.919,"6,416",37.603,91
91,92,Cameron Tringale,96,70.92,"6,812",- 3.651,96
92,93,Ben Martin,93,70.95,"6,361",24.457,90
93,94,Chris Kirk,76,70.959,"5,172",7.973,73
94,95,Gary Woodland,81,70.982,"5,265",- 12.312,74
95,96,Morgan Hoffmann,85,70.988,"6,023",10.946,85
96,97,Mark Wilson,89,70.991,"6,001",33.219,85
97,98,Adam Hadwin,95,71.021,"6,577",27.998,93
98,99,Sean O'Hair,86,71.03,"6,067",41.548,86
99,100,Scott Langley,94,71.032,"6,504",30.952,92
100,105,Sangmoon Bae,98,71.036,"6,950",11.502,98
101,101,John Huh,102,71.037,"7,132",42.752,101
102,102,Cameron Percy,72,71.039,"4,933",39.709,70
103,103,Billy Hurley III,83,71.043,"5,589",23.367,79
104,104,Billy Horschel,99,71.05,"6,800",20.792,96
105,106,Camilo Villegas,83,71.067,"5,899",- .401,83
106,107,Steve Wheatcroft,87,71.072,"5,853",45.953,83
107,108,Alex Prugh,84,71.089,"5,649",38.135,80
108,109,John Senden,80,71.09,"5,334",- 2.262,75
109,110,David Toms,62,71.092,"4,099",24.322,58
110,111,Charl Schwartzel,67,71.093,"4,497",- 18.134,63
111,112,Steven Alker,62,71.094,"4,219",46.629,60
112,113,Whee Kim,71,71.097,"4,855",50.704,69
113,114,Carlos Ortiz,100,71.098,"6,788",37.366,96
114,115,Jamie Donaldson,50,71.102,"3,366",- 24.191,47
115,116,Scott Pinckney,88,71.103,"6,220",37.088,88
116,117,Alex Cejka,94,71.117,"6,497",45.773,92
117,118,Hunter Mahan,88,71.124,"5,957",17.424,84
118,119,Blayne Barber,76,71.127,"5,238",25.382,74
119,120,Chez Reavie,56,71.146,"3,954",30.195,56
120,121,Michael Putnam,87,71.156,"6,015",33.272,85
121,122,Chris Stroud,84,71.194,"5,943",37.302,84
122,123,Fabián Gómez,83,71.207,"5,886",24.207,83
123,124,Luke Guthrie,84,71.211,"5,815",24.274,82
124,125,Aaron Baddeley,76,71.218,"5,236",34.105,74
125,126,Mark Hubbard,79,71.227,"5,435",49.463,77
126,127,Erik Compton,86,71.228,"6,084",41.591,86
127,128,Michael Thompson,83,71.23,"5,748",21.670,81
128,129,Jonas Blixt,78,71.238,"5,251",20.583,74
129,130,Ryo Ishikawa,90,71.246,"6,230",39.643,88
130,131,Jason Gore,76,71.273,"5,090",41.636,72
131,132,Kevin Streelman,95,71.282,"6,438",48.670,91
132,133,Davis Love III,51,71.289,"3,626",9.723,51
133,134,Lucas Glover,79,71.291,"5,612",20.007,79
134,T135,Ken Duke,93,71.306,"6,313",33.219,89
135,137,Jhonattan Vegas,90,71.326,"6,103",31.075,86
T136,T138,John Merrick,78,71.334,"5,249",29.747,74
T136,T138,Roberto Castro,54,71.334,"3,552",14.704,50
T136,T138,J.J. Henry,94,71.334,"6,384",36.026,90
139,141,Brian Stuard,97,71.341,"6,603",31.673,93
140,142,Greg Chalmers,58,71.363,"3,828",25.596,54
141,144,K.J. Choi,66,71.372,"4,406",19.034,62
142,145,Nicholas Thompson,90,71.396,"6,110",30.036,86
T143,T146,Andres Gonzales,90,71.427,"6,105",37.721,86
T143,T146,Andres Romero,69,71.427,"4,725",- 10.824,66
145,148,Derek Fathauer,81,71.431,"5,481",19.201,77
T146,T149,Brice Garnett,81,71.453,"5,619",25.798,79
T146,T149,Derek Ernst,75,71.453,"5,054",19.158,71
148,151,Troy Merritt,91,71.458,"6,473",29.674,91
149,152,Seung-Yul Noh,65,71.465,"4,625",20.233,65
150,153,Sung Joon Park,79,71.469,"5,477",26.119,77
151,154,Bo Van Pelt,81,71.497,"5,621",27.290,79
152,155,Gonzalo Fernandez-Castaño,81,71.5,"5,478",27.505,77
153,157,Greg Owen,58,71.512,"4,114",33.680,58
154,158,Justin Leonard,61,71.517,"4,339",23.548,61
155,159,Geoff Ogilvy,50,71.559,"3,445",- 10.159,48
156,160,Jonathan Randolph,72,71.606,"4,972",40.415,70
157,161,Ricky Barnes,82,71.647,"5,559",29.492,78
158,162,Brian Davis,86,71.656,"5,847",28.773,82
159,163,Retief Goosen,81,71.667,"5,510",8.363,77
160,164,Sam Saunders,83,71.668,"5,759",46.147,81
161,165,Tyrone Van Aswegen,58,71.684,"3,836",34.922,54
162,166,D.A. Points,72,71.701,"4,998",21.038,70
163,167,Nick Taylor,91,71.716,"6,460",66.148,91
164,168,Ángel Cabrera,53,71.734,"3,795",6.913,53
165,169,Max Homa,78,71.763,"5,283",27.456,74
166,170,Robert Garrigus,70,71.774,"4,721",16.085,66
167,171,Bill Lunde,50,71.796,"3,266",36.602,46
168,172,Chesson Hadley,101,71.798,"7,212",39.580,101
169,173,Byron Smith,59,71.801,"3,905",44.048,55
170,174,Ernie Els,57,71.83,"4,095",- .668,57
171,175,Tim Wilkinson,73,71.944,"5,079",29.041,71
